CC,AGENCIA,TIPO,Ene-21
CC_1001 AGENCIA MERCED,MERCED,INDIVIDUAL,15.19534938
CC_1002 AGENCIA LA PAMPILLA,LA PAMPILLA,INDIVIDUAL,6.093593787
CC_1003 AGENCIA LOS OLIVOS,LOS OLIVOS,INDIVIDUAL,7.51697724
CC_1004 AGENCIA MOLLENDO,MOLLENDO,INDIVIDUAL,10.69810984
CC_1005 AGENCIA MIRAFLORES,MIRAFLORES,MIXTA,5.223307029
CC_1006 AGENCIA COMAS,COMAS,MIXTA,6.13405859
CC_1007 AGENCIA SANTA MARTHA,SANTA MARTHA,INDIVIDUAL,19.05681187
CC_1008 AGENCIA NICOLÁS DE PIÉROLA,NICOLÁS DE PIÉROLA,INDIVIDUAL,13.8543082
CC_1009 AGENCIA PUENTE PIEDRA,PUENTE PIEDRA,MIXTA,5.659877204
CC_1010 AGENCIA CAMANA,CAMANA,MIXTA,10.85608232
CC_1011 AGENCIA VENTANILLA,VENTANILLA,MIXTA,5.475961778
CC_1012 AGENCIA CANTO GRANDE,CANTO GRANDE,MIXTA,5.314228595
CC_1013 AGENCIA PROCERES,PROCERES,MIXTA,5.446700797
CC_1014 AGENCIA CAYMA,CAYMA,INDIVIDUAL,8.335568372
CC_1015 AGENCIA SAN MARTIN DE PORRES,SAN MARTIN DE PORRES,INDIVIDUAL,7.780140455
CC_1016 AGENCIA COLLIQUE,COLLIQUE,MIXTA,4.963818776
CC_1017 AGENCIA CERES,CERES,MIXTA,5.731940693
CC_1018 AGENCIA PEDREGAL,PEDREGAL,INDIVIDUAL,8.910190212
CC_1022 AGENCIA PAUCARPATA,PAUCARPATA,MIXTA,5.926323036
CC_1024 AGENCIA SAN CAMILO,SAN CAMILO,INDIVIDUAL,7.837743251
CC_1025 AGENCIA CARABAYLLO,CARABAYLLO,INDIVIDUAL,5.794747018
CC_1026 AGENCIA ALTO SELVA ALEGRE,ALTO SELVA ALEGRE,INDIVIDUAL,8.406821122
CC_1027 AGENCIA INDEPENDENCIA,INDEPENDENCIA,INDIVIDUAL,7.547496369
CC_1028 AGENCIA SANTA LUZMILA,SANTA LUZMILA,INDIVIDUAL,7.365473993
CC_1029 AGENCIA LOS INCAS,LOS INCAS,INDIVIDUAL,16.59711911
CC_1030 AGENCIA HUANDOY,HUANDOY,MIXTA,5.095489201
CC_1031 AGENCIA PACHACUTEC,PACHACUTEC,MIXTA,6.438114913
CC_1032 AGENCIA AGUSTINO,AGUSTINO,INDIVIDUAL,8.930110457
CC_1033 AGENCIA CUSCO,CUSCO,MIXTA,7.389812316
CC_1034 AGENCIA PUNO,PUNO,MIXTA,8.436967348
CC_1035 AGENCIA HUACHIPA,HUACHIPA,MIXTA,6.486767428
CC_1036 AGENCIA CERRO COLORADO,CERRO COLORADO,MIXTA,6.414705324
CC_1037 AGENCIA CALLAO,CALLAO,INDIVIDUAL,11.02320422
CC_1038 AGENCIA SANTA ANITA,SANTA ANITA,INDIVIDUAL,10.72567826
CC_1039 AGENCIA TRUJILLO NORTE,TRUJILLO NORTE,GRUPAL,7.539941525
CC_1040 AGENCIA TRUJILLO CENTRO,TRUJILLO CENTRO,MIXTA,6.069684669
CC_1041 AGENCIA ICA,ICA,GRUPAL,9.580739038
CC_1042 AGENCIA TACNA,TACNA,MIXTA,5.9815293
CC_1043 AGENCIA CHINCHA,CHINCHA,MIXTA,4.922716081
CC_1044 AGENCIA CHIMBOTE,CHIMBOTE,GRUPAL,7.677870799
CC_1045 AGENCIA CAÑETE - SAN VICENTE,CAÑETE - SAN VICENTE,GRUPAL,9.28883259
CC_1046 AGENCIA HUANCAYO SUR - TAMBO,HUANCAYO SUR - TAMBO,GRUPAL,11.02180086
CC_1047 AGENCIA CHICLAYO,CHICLAYO,MIXTA,5.319998551
CC_1048 AGENCIA PIURA,PIURA,MIXTA,5.322465702
CC_1049 AGENCIA JULIACA,JULIACA,MIXTA,5.0978849
CC_1051 AGENCIA SULLANA,SULLANA,GRUPAL,5.111242885
CC_1052 AGENCIA MOQUEGUA,MOQUEGUA,MIXTA,6.003682772
CC_1053 AGENCIA TUMBES,TUMBES,GRUPAL,7.691562133
CC_1054 AGENCIA HUANCAYO 2,HUANCAYO 2,MIXTA,9.991935038
CC_1055 AGENCIA CHIMBOTE 2,CHIMBOTE 2,MIXTA,5.50706979
CC_1057 AGENCIA HUNTER,HUNTER,MIXTA,8.551878084
CC_1059 AGENCIA ZAPALLAL,ZAPALLAL,INDIVIDUAL,6.556584167
CC_1060 AGENCIA LAMBAYEQUE,LAMBAYEQUE,GRUPAL,5.77390108
CC_1061 AGENCIA CASA GRANDE,CASA GRANDE,GRUPAL,12.41552668
CC_1062 AGENCIA TARMA,TARMA,GRUPAL,12.27792131
CC_1063 AGENCIA CHULUCANAS,CHULUCANAS,GRUPAL,12.05695631
CC_1064 AGENCIA PISCO,PISCO,MIXTA,5.339588992
CC_1065 AGENCIA VIRU,VIRU,GRUPAL,10.91318865
CC_1066 AGENCIA TALARA,TALARA,GRUPAL,4.523701322
CC_1067 AGENCIA MOSHOQUEQUE,MOSHOQUEQUE,MIXTA,6.356282652
CC_1068 AGENCIA LA UNION,LA UNION,GRUPAL,5.572425513
CC_1069 AGENCIA OLMOS,OLMOS,GRUPAL,9.493679153
CC_1070 AGENCIA ANCASH CASMA,ANCASH CASMA,GRUPAL,13.16881365
CC_1071 AGENCIA EL PORVENIR,EL PORVENIR,GRUPAL,4.481804841
CC_1072 AGENCIA FERREÑAFE,FERREÑAFE,GRUPAL,7.870183721
CC_1074 AGENCIA HUARAZ,HUARAZ,MIXTA,7.904546444
CC_1075 AGENCIA MANCORA,MANCORA,GRUPAL,11.47779965
CC_1076 AGENCIA CASTILLA,CASTILLA,MIXTA,8.313132725
CC_1077 AGENCIA CARHUAZ,CARHUAZ,GRUPAL,10.15507429
CC_1078 AGENCIA TAMBO GRANDE,TAMBO GRANDE,GRUPAL,9.88372188
CC_1079 AGENCIA VILLA EL SALVADOR,VILLA EL SALVADOR,MIXTA,3.694963182
CC_1080 AGENCIA MARCAVELICA,MARCAVELICA,GRUPAL,9.233550722
CC_1081 AGENCIA SAN JUAN DE MIRAFLORES,SAN JUAN DE MIRAFLORES,MIXTA,6.568461777
CC_1082 AGENCIA HUAYCAN,HUAYCAN,MIXTA,4.928747113
CC_1083 AGENCIA MANCHAY,MANCHAY,MIXTA,6.663289345
CC_1084 AGENCIA CHORRILLOS,CHORRILLOS,MIXTA,7.369843944
CC_1085 AGENCIA SULLANA 2,SULLANA 2,MIXTA,3.860711117
CC_1089 AGENCIA ICA CENTRO 2,ICA CENTRO 2,MIXTA,7.866363759
CC_1090 LA MERCED JUNÍN,D JUNÍN,GRUPAL,16.34145672
CC_1091 AGENCIA HUARAL,HUARAL,GRUPAL,9.018847485
CC_1092 AGENCIA HUACHO,HUACHO,GRUPAL,7.86425431
CC_1093 AGENCIA BARRANCA,BARRANCA,GRUPAL,9.912568835
CC_1094 AGENCIA LURIN,LURIN,MIXTA,7.190307659
CC_1095 AGENCIA JICAMARCA,JICAMARCA,MIXTA,6.707922437
CC_1096 AGENCIA LA ESPERANZA CI,LA ESPERANZA CI,INDIVIDUAL,5.665049017
CC_1097 AGENCIA SANTA ROSA,SANTA ROSA,GRUPAL,6.974236227
CC_1098 AGENCIA JOSE GALVEZ VMT,JOSE GALVEZ VMT,MIXTA,8.250963769
CC_1099 AGENCIA VILLA MARIA DEL TRIUNFO 1,VILLA MARIA DEL TRIUNFO 1,MIXTA,6.648207422
CC_1100 AGENCIA WIESSE,WIESSE,MIXTA,5.615775335
CC_1101 AGENCIA SAN MARTIN DE PORRES 2,SAN MARTIN DE PORRES 2,GRUPAL,12.57528196
CC_1102 AGENCIA MOYOBAMBA,MOYOBAMBA,MIXTA,6.676164889
CC_1103 AGENCIA TARAPOTO,TARAPOTO,MIXTA,4.746686606
CC_1104 AGENCIA IQUITOS,IQUITOS,MIXTA,4.937983475
CC_1105 AGENCIA CHOTA,CHOTA,MIXTA,14.76505951
CC_1106 AGENCIA TINGO MARIA,TINGO MARIA,MIXTA,7.6431465
CC_1107 AGENCIA CAJAMARCA,CAJAMARCA,MIXTA,7.804122151
CC_1108 AGENCIA AYACUCHO,AYACUCHO,MIXTA,8.296137317
CC_1109 AGENCIA JAEN,JAEN,MIXTA,5.671207697
CC_1110 AGENCIA PUCALLPA,PUCALLPA,MIXTA,3.997181424
CC_1111 AGENCIA HUANUCO,HUANUCO,MIXTA,8.109817554
CC_1112 AGENCIA CHEPEN,CHEPEN,MIXTA,6.742646092
CC_1113 AGENCIA SAN JERONIMO CUSCO,SAN JERONIMO CUSCO,MIXTA,9.951045405
